subject,course,period,workload
Construção de Software I,"Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,102 Horas
Construção de Software II,"Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,102 Horas
Eletricidade,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Sistemas de Informação(OPT)",Noturno,51 Horas
Instalações Elétricas,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,51 Horas
Cabeamento Estruturado,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,68 Horas
Ferramenta CAD,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,34 Horas
Programação para Redes,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Arquitetura TCP/IP,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Administração de Sistemas I,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Interconexão e Configuração de Ativos de Rede,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Segurança de Redes I,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Administração de Sistemas II,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Projeto de Redes de Computadores,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Noturno,68 Horas
Redes Sem Fio,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Gerência de Redes,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Segurança de Redes II,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Noturno,34 Horas
Tópicos em Computação I,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Computação II,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Computação III,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Engenharia de Software,"Ciência da Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Inteligência Artificial I,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Inteligência Artificial II,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Inteligência Artificial III,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Processamento de Imagens,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Redes de Computadores I,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Redes de Computadores II,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Redes de Computadores III,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Sistemas Digitais,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
